school,state,staff_directory,has_pagination,is_dynamic,
central kitsap high school,washington,https://ckhigh.ckschools.org/,,,
central unified alternativeopportunity,california,https://cl.centralunified.org/,,,
clairemont high school,california,https://clairemont.sandiegounified.org/,,,
clarendon hall school,south carolina,https://clarendonhall.org/,,,
clarksville high school,tennessee,https://clarksvillehigh.cmcss.net/,,,
classical academy,california,https://classicalacademy.com/classical-academy-escondido-k-8/,,,
classical academy high school,california,https://classicalacademy.com/classical-academy-high-school/,,,
classical academy vista,california,https://classicalacademy.com/classical-academy-vista-k-8/,,,
coastal academy charter,california,https://classicalacademy.com/coastal-academy-high-school-9-12/,,,
classical preparatory school,florida,https://classicalprep.org/,,,
clay high school,indiana,https://clay.sb.school/,,,
clayton high school,new jersey,https://claytonps.org/clayton-high-school/,,,
crystal lake central high school,illinois,https://clc.d155.org/,,,
clear brook high school,texas,https://clearbrook.ccisd.net/home,,,
clear falls high school,texas,https://clearfalls.ccisd.net/,,,
cleveland high school,new mexico,https://cleveland.rrps.net/,,,
cleveland high school,washington,https://clevelandhs.seattleschools.org/,,,
center line high school,michigan,https://clhs.clps.org/,,,
canyon lake high school,texas,https://clhs.comalisd.org/,,,
clinton high school,north carolina,https://clintonchs.ss16.sharpschool.com/,,,
clio area high school,michigan,https://cliochs.ss20.sharpschool.com/,,,
cloverdale high,california,https://cloverdale-ca.schoolloop.com/,,,
memorial high school,ohio,https://cmhs.campbell.k12.oh.us/,,,
crete monee high school,illinois,https://cmhs.cm201u.org/,,,
cheyenne mountain high school,colorado,https://cmhs.cmsd12.org/,,,
central mountain high school,pennsylvania,https://cmhs.kcsd.us/,,,
chesapeake math and it public charter,maryland,https://cmitacademy.org/highschool/,,,
chesapeake math and it south public charter,maryland,https://cmitsouth.org/,,,
clovis north high school,california,https://cnec.cusd.com/,,,
central high school,south carolina,https://cnh.chesterfieldschools.org/,,,
chanhassen high school,minnesota,https://cns.district112.org/,,,
calumet high school,indiana,https://cnths.lakeridge.k12.in.us/,,,
highland high school,colorado,https://co02201624.schoolwires.net/domain/44,,,
coal ridge high school,colorado,https://coalridgetitans.garfieldre2.net/,,,
cocke co high school,tennessee,https://cockecountyschools.org/cchs/,,,
destinations career academy of colorado,colorado,https://codca.k12.com/?utm_source=google&utm_medium=Yext&y_source=1_MjUyMzUwMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,
coffee high school,georgia,https://coffeehigh.ga.cch.schoolinsites.com/,,,
colony high school,california,https://cohs.cjuhsd.net/,,,
college park academy,maryland,https://collegeparkacademy.net/,,,
colorado early colleges aurora,colorado,https://coloradoearlycolleges.org/aurora/,,,
colorado springs early colleges,colorado,https://coloradoearlycolleges.org/coloradosprings/,,,
colorado early college fort collins,colorado,https://coloradoearlycolleges.org/fortcollins/,,,
colorado early colleges douglas county,colorado,https://coloradoearlycolleges.org/parker/,,,
colorado virtual academy cova,colorado,https://coloradovirtualacademy.org/,,,
columbia high school,washington,https://columbia.wsvsd.org/,,,
columbia high school,idaho,https://columbiahigh.nsd131.org/,,,
columbine high school,colorado,https://columbinehs.jeffcopublicschools.org/,,,
columbus preparatory academy high school,ohio,https://columbuspreparatoryacademy.org/,,,
colusa high school,california,https://colusahigh.colusa.k12.ca.us/,,,
community high school,tennessee,https://communityhs.bedfordk12tn.com/,,,
blue peak high school,utah,https://communitylearningcenter.tooeleschools.org/apps/pages/index.jsp?uREC_ID=676338&type=d&pREC_ID=1120710,,,
chicopee comprehensive high school,massachusetts,https://comp.chicopeeps.org/en-US,,,
compass community school midtown campus,tennessee,https://compassmemphis.org/midtown/,,,
comsewogue high school,new york,https://comsewoguehs.comsewogue.k12.ny.us/,,,
conifer senior high school,colorado,https://conifer.jeffcopublicschools.org/,,,
constitution high school,pennsylvania,https://constitutionhs.philasd.org/,,,
conway christian school,south carolina,https://conwaychristian.org/,,,
randall k cooper high school,kentucky,https://cooper.boone.kyschools.us/,,,
coral academy high school,nevada,https://coralacademy.org/,,,
corbett school,oregon,https://corbett.k12.or.us/schools/high-school/,,,
cornerstone charter academy,north carolina,https://cornerstone.cfacademy.school/,,,
cosby high school,tennessee,https://cosbyhighschool.weebly.com/,,,
gates county senior high school,north carolina,https://coserver.gates.k12.nc.us/domain/326,,,
cotter high school,arkansas,https://cotterschools.net/,,,
cottonwood,california,https://cottonwoodk12.org/,,,
frank w cox high school,virginia,https://coxhs.vbschools.com/,,,
confluence preparatory academy,missouri,https://cpa.confluenceacademy.org/,,,
colorado preparatory academy high school,colorado,https://cpa.k12.com/,,,
